threshold,n_approved,approval_rate,total_profit,total_loan,avg_PD,profit_ratio
0.29000000000000004,60747,76.85213298922119,101852446.71889597,802006850.0,0.1327988497410991,0.1269969785406396
0.30000000000000004,61848,78.24502808562319,103282360.47294568,818537150.0,0.13568469348476667,0.12617919720924783
0.31000000000000005,62878,79.54809979252062,104630286.14331077,834448850.0,0.1384577651291645,0.1253884958236934
0.32000000000000006,63865,80.79677141845049,105820407.14895143,849936950.0,0.1411857565681993,0.12450383190065031
0.33,64900,82.1061687161581,107076987.59947252,866447900.0,0.14411513275992086,0.1235815651460088
0.34,65790,83.23212388037042,108024623.89610773,880287400.0,0.14669789319277687,0.1227151767662558
0.35000000000000003,66674,84.35048833561054,108865736.27937067,894764375.0,0.14932735816095366,0.12166972593133323
0.36000000000000004,67531,85.43469460047568,109671628.76681106,908374325.0,0.15193973628257618,0.12073395928139102
0.37000000000000005,68386,86.51637062901675,110452109.91571163,922478300.0,0.15460136450369222,0.11973410097095143
0.38000000000000006,69153,87.48671625929862,110968275.49158701,935451675.0,0.1570436122707015,0.11862534266303709
0.39000000000000007,69891,88.42037346288143,111491983.65025072,947876325.0,0.1594497003584945,0.11762292264262504
0.4000000000000001,70605,89.32366783057537,111958334.67693198,960123475.0,0.16183096765731442,0.11660826715744241
0.4100000000000001,71259,90.15105510854714,112272874.00587484,971372075.0,0.1640619976239488,0.1155817393719856
0.42000000000000004,71914,90.97970750468095,112598139.55480222,982769125.0,0.16634777818666546,0.11457232089459692
0.43000000000000005,72545,91.77799706492587,112872885.89835702,994228150.0,0.16859628141200855,0.1135281533703879
0.44000000000000006,73156,92.55098426193007,113037930.37133783,1005518600.0,0.17082124689662315,0.11241754291898512
0.45000000000000007,73750,93.30246445017964,113069483.66061676,1016042900.0,0.17302779017993417,0.11128416296262368
0.4600000000000001,74276,93.96791660341076,113076393.0469488,1025705475.0,0.17502454651465651,0.11024255578527434
0.4700000000000001,74773,94.59668032994281,112949223.27773,1034792775.0,0.17695230396505088,0.10915153836257699
0.4800000000000001,75256,95.20773240220637,112765594.16338876,1043696725.0,0.17886433521820921,0.1080444074052151
0.49000000000000005,75728,95.80486817468751,112547005.438481,1052530500.0,0.1807700919249584,0.10692992311242383
0.5000000000000001,76166,96.35898992965943,112253533.98178129,1060511300.0,0.18257713909424841,0.10584850343582505
0.5100000000000001,76587,96.89160467587674,111921706.26920938,1068417000.0,0.18434955927937968,0.10475470370577161
0.5200000000000001,76975,97.38247052274683,111539048.7382431,1075615350.0,0.18601572118167622,0.10369789603527237
0.5300000000000001,77304,97.79869439805677,111143218.13354693,1081667900.0,0.1874591052386604,0.10275170237884192
0.5400000000000001,77580,98.14786701077881,110787730.62862581,1086612200.0,0.18869424036652852,0.10195700971204429
